node_id,date,discharge_avg,year,week
67.53232_24.06049,2020-12-06,2494.3528,2020,49
67.53232_24.06049,2020-12-13,2236.4543,2020,50
67.53232_24.06049,2020-12-20,1987.4319,2020,51
67.53232_24.06049,2020-12-27,1966.413,2020,52
67.53232_24.06049,2021-01-03,2007.3505,2021,53
67.53232_24.06049,2021-01-10,1808.5312,2021,1
67.53232_24.06049,2021-01-17,1801.0736,2021,2
67.53232_24.06049,2021-01-24,1964.3348,2021,3
67.53232_24.06049,2021-01-31,1725.1317,2021,4
67.53232_24.06049,2021-02-07,1533.5358,2021,5
67.53232_24.06049,2021-02-14,1466.8483,2021,6
67.53232_24.06049,2021-02-21,1370.7233,2021,7
67.53232_24.06049,2021-02-28,1253.442,2021,8
67.53232_24.06049,2021-03-07,1116.5892,2021,9
67.53232_24.06049,2021-03-14,1036.4108,2021,10
67.53232_24.06049,2021-03-21,1202.2233,2021,11
67.53232_24.06049,2021-03-28,1478.0491,2021,12
67.53232_24.06049,2021-04-04,1872.7723,2021,13
67.53232_24.06049,2021-04-11,2434.3972,2021,14
67.53232_24.06049,2021-04-18,2439.0134,2021,15
67.53232_24.06049,2021-04-25,2480.4597,2021,16
67.53232_24.06049,2021-05-02,2528.9866,2021,17
67.53232_24.06049,2021-05-09,2731.741,2021,18
67.53232_24.06049,2021-05-16,2409.317,2021,19
67.53232_24.06049,2021-05-23,2379.0847,2021,20
67.53232_24.06049,2021-05-30,2440.3616,2021,21
67.53232_24.06049,2021-06-06,1131.1697,2021,22
67.53232_24.06049,2021-06-13,314.12946,2021,23
67.53232_24.06049,2021-06-20,176.50447,2021,24
67.53232_24.06049,2021-06-27,2723.049,2021,25
67.53232_24.06049,2021-07-04,4135.9062,2021,26
67.53232_24.06049,2021-07-11,5212.6763,2021,27
67.53232_24.06049,2021-07-18,7456.8706,2021,28
67.53232_24.06049,2021-07-25,13067.337,2021,29
67.53232_24.06049,2021-08-01,13433.953,2021,30
67.53232_24.06049,2021-08-08,15099.103,2021,31
67.53232_24.06049,2021-08-15,10474.302,2021,32
67.53232_24.06049,2021-08-22,8530.833,2021,33
67.53232_24.06049,2021-08-29,6525.953,2021,34
67.53232_24.06049,2021-09-05,5255.126,2021,35
67.53232_24.06049,2021-09-12,4708.259,2021,36
67.53232_24.06049,2021-09-19,4280.7007,2021,37
67.53232_24.06049,2021-09-26,4259.0884,2021,38
67.53232_24.06049,2021-10-03,3853.615,2021,39
67.53232_24.06049,2021-10-10,3309.7065,2021,40
67.53232_24.06049,2021-10-17,2917.9153,2021,41
67.53232_24.06049,2021-10-24,2955.7144,2021,42
67.53232_24.06049,2021-10-31,3059.7869,2021,43
67.53232_24.06049,2021-11-07,3313.1228,2021,44
67.53232_24.06049,2021-11-14,3044.8494,2021,45
67.53232_24.06049,2021-11-21,2640.0212,2021,46
67.53232_24.06049,2021-11-28,2296.7734,2021,47
67.53232_24.06049,2021-12-05,2000.0134,2021,48
67.53232_24.06049,2021-12-12,1799.0134,2021,49
67.53232_24.06049,2021-12-19,1653.2344,2021,50
67.53232_24.06049,2021-12-26,1626.8549,2021,51
67.53232_24.06049,2022-01-02,1544.3728,2022,52
67.53232_24.06049,2022-01-09,1479.0447,2022,1
67.53232_24.06049,2022-01-16,1508.029,2022,2
67.53232_24.06049,2022-01-23,2232.9688,2022,3
67.53232_24.06049,2022-01-30,2169.2053,2022,4
67.53232_24.06049,2022-02-06,1945.9286,2022,5
67.53232_24.06049,2022-02-13,1961.0067,2022,6
67.53232_24.06049,2022-02-20,1658.9777,2022,7
67.53232_24.06049,2022-02-27,1393.7233,2022,8
67.53232_24.06049,2022-03-06,1215.9017,2022,9
67.53232_24.06049,2022-03-13,1447.1027,2022,10
67.53232_24.06049,2022-03-20,1567.0848,2022,11
67.53232_24.06049,2022-03-27,1447.6072,2022,12
67.53232_24.06049,2022-04-03,1411.683,2022,13
67.53232_24.06049,2022-04-10,1579.5,2022,14
67.53232_24.06049,2022-04-17,1486.4241,2022,15
67.53232_24.06049,2022-04-24,1429.3125,2022,16
67.53232_24.06049,2022-05-01,1358.8303,2022,17
67.53232_24.06049,2022-05-08,1385.3036,2022,18
67.53232_24.06049,2022-05-15,1471.8438,2022,19
67.53232_24.06049,2022-05-22,1487.6608,2022,20
67.53232_24.06049,2022-05-29,1612.9509,2022,21
67.53232_24.06049,2022-06-05,781.97766,2022,22
67.53232_24.06049,2022-06-12,148.2009,2022,23
67.53232_24.06049,2022-06-19,8.334822,2022,24
67.53232_24.06049,2022-06-26,1.5535715,2022,25
67.53232_24.06049,2022-07-03,1530.9978,2022,26
67.53232_24.06049,2022-07-10,7342.7163,2022,27
67.53232_24.06049,2022-07-17,11592.005,2022,28
67.53232_24.06049,2022-07-24,10103.998,2022,29
67.53232_24.06049,2022-07-31,11937.186,2022,30
67.53232_24.06049,2022-08-07,11273.649,2022,31
67.53232_24.06049,2022-08-14,9684.976,2022,32
67.53232_24.06049,2022-08-21,10114.752,2022,33
67.53232_24.06049,2022-08-28,20521.818,2022,34
67.53232_24.06049,2022-09-04,17649.68,2022,35
67.53232_24.06049,2022-09-11,10290.994,2022,36
67.53232_24.06049,2022-09-18,7939.368,2022,37
67.53232_24.06049,2022-09-25,6653.962,2022,38
