edge_id,from_node_id,to_node_id,river_name,length_km,wkt,edge_type,correlation,elev_delta
2472,76.46111_32.91339,75.43032_33.13936,Correlated_Link,99.32910532662531,"LINESTRING (75.43031655667215 33.139356898944435, 76.46111218355682 32.91338790323355)",2,0.6745863500230247,1040.0
2473,75.54160_35.37801,75.91581_35.18301,Correlated_Link,40.29785934234173,"LINESTRING (75.54160338689222 35.37801201149273, 75.9158079057487 35.18301482649811)",2,0.688170193247412,213.0
2474,75.91581_35.18301,75.54160_35.37801,Correlated_Link,40.29785934234173,"LINESTRING (75.54160338689222 35.37801201149273, 75.9158079057487 35.18301482649811)",2,0.688170193247412,213.0
2475,75.54160_35.37801,76.10880_35.02691,Correlated_Link,64.65353163905735,"LINESTRING (75.54160338689222 35.37801201149273, 76.10880365938317 35.026909068353945)",2,0.6156195686600551,300.0
2476,76.10880_35.02691,75.54160_35.37801,Correlated_Link,64.65353163905735,"LINESTRING (75.54160338689222 35.37801201149273, 76.10880365938317 35.026909068353945)",2,0.6156195686600551,300.0
2477,75.54160_35.37801,76.18992_34.83356,Correlated_Link,84.517402131014,"LINESTRING (75.54160338689222 35.37801201149273, 76.18992096426305 34.8335613904365)",2,0.6094025930920728,359.0
2478,76.18992_34.83356,75.54160_35.37801,Correlated_Link,84.517402131014,"LINESTRING (75.54160338689222 35.37801201149273, 76.18992096426305 34.8335613904365)",2,0.6094025930920728,359.0
2479,75.55438_32.35894,75.68694_33.16619,Correlated_Link,90.61358572414156,"LINESTRING (75.55438296576732 32.35893733280221, 75.68693819684648 33.16618548618644)",2,0.6805029425219462,729.0
2480,75.68694_33.16619,75.55438_32.35894,Correlated_Link,90.61358572414156,"LINESTRING (75.55438296576732 32.35893733280221, 75.68693819684648 33.16618548618644)",2,0.6805029425219462,729.0
2481,75.55438_32.35894,75.96358_32.61223,Correlated_Link,47.606126174488914,"LINESTRING (75.55438296576732 32.35893733280221, 75.96357927743252 32.61222926804999)",2,0.8401593313186966,887.0
2482,75.96358_32.61223,75.55438_32.35894,Correlated_Link,47.606126174488914,"LINESTRING (75.55438296576732 32.35893733280221, 75.96357927743252 32.61222926804999)",2,0.8401593313186966,887.0
2483,75.55438_32.35894,76.15873_32.50126,Correlated_Link,58.8862643167886,"LINESTRING (75.55438296576732 32.35893733280221, 76.15872831127872 32.50125840479653)",2,0.7863691487114675,1122.0
2484,76.15873_32.50126,75.55438_32.35894,Correlated_Link,58.8862643167886,"LINESTRING (75.55438296576732 32.35893733280221, 76.15872831127872 32.50125840479653)",2,0.7863691487114675,1122.0
2485,75.55438_32.35894,76.39738_32.45153,Correlated_Link,79.80643549881772,"LINESTRING (75.55438296576732 32.35893733280221, 76.3973750783886 32.45153205294088)",2,0.6802257783849416,1044.0
2486,76.39738_32.45153,75.55438_32.35894,Correlated_Link,79.80643549881772,"LINESTRING (75.55438296576732 32.35893733280221, 76.3973750783886 32.45153205294088)",2,0.6802257783849416,1044.0
2487,75.55438_32.35894,76.58533_32.30862,Correlated_Link,97.0221970593159,"LINESTRING (75.55438296576732 32.35893733280221, 76.58532717408289 32.30861852565151)",2,0.6888651313398694,1501.0
2488,76.58533_32.30862,75.55438_32.35894,Correlated_Link,97.0221970593159,"LINESTRING (75.55438296576732 32.35893733280221, 76.58532717408289 32.30861852565151)",2,0.6888651313398694,1501.0
2489,75.56886_30.97651,76.08556_30.99147,Correlated_Link,49.28411285708834,"LINESTRING (75.56885848598101 30.97651243914486, 76.08555591935209 30.99147423137552)",2,0.9216677164357544,18.0
2490,76.08556_30.99147,75.56886_30.97651,Correlated_Link,49.28411285708834,"LINESTRING (75.56885848598101 30.97651243914486, 76.08555591935209 30.99147423137552)",2,0.9216677164357544,18.0
2491,75.56886_30.97651,76.33665_31.00467,Correlated_Link,73.25434255690794,"LINESTRING (75.56885848598101 30.97651243914486, 76.33665061828529 31.004674894592323)",2,0.9060302837571841,28.0
2492,76.33665_31.00467,75.56886_30.97651,Correlated_Link,73.25434255690794,"LINESTRING (75.56885848598101 30.97651243914486, 76.33665061828529 31.004674894592323)",2,0.9060302837571841,28.0
2493,75.56886_30.97651,76.39958_31.42664,Correlated_Link,93.52925265613402,"LINESTRING (75.56885848598101 30.97651243914486, 76.39957850036187 31.426640301154865)",2,0.7261819900922944,126.0
2494,76.39958_31.42664,75.56886_30.97651,Correlated_Link,93.52925265613402,"LINESTRING (75.56885848598101 30.97651243914486, 76.39957850036187 31.426640301154865)",2,0.7261819900922944,126.0
2495,75.56886_30.97651,76.47286_31.21652,Correlated_Link,90.11755566463609,"LINESTRING (75.56885848598101 30.97651243914486, 76.47286172864949 31.216519420894603)",2,0.7721087476589694,68.0
2496,76.47286_31.21652,75.56886_30.97651,Correlated_Link,90.11755566463609,"LINESTRING (75.56885848598101 30.97651243914486, 76.47286172864949 31.216519420894603)",2,0.7721087476589694,68.0
2497,75.56886_30.97651,76.53143_31.04223,Correlated_Link,92.02681984862932,"LINESTRING (75.56885848598101 30.97651243914486, 76.53143308579386 31.04223089007944)",2,0.895838362732958,42.0
2498,76.53143_31.04223,75.56886_30.97651,Correlated_Link,92.02681984862932,"LINESTRING (75.56885848598101 30.97651243914486, 76.53143308579386 31.04223089007944)",2,0.895838362732958,42.0
2499,75.68694_33.16619,75.77033_32.47281,Correlated_Link,77.49241906357183,"LINESTRING (75.68693819684648 33.16618548618644, 75.77032748233752 32.472811738635464)",2,0.677200582223901,537.0
2500,75.77033_32.47281,75.68694_33.16619,Correlated_Link,77.49241906357183,"LINESTRING (75.68693819684648 33.16618548618644, 75.77032748233752 32.472811738635464)",2,0.677200582223901,537.0
2501,75.68694_33.16619,75.89815_33.35825,Correlated_Link,29.012818611643645,"LINESTRING (75.68693819684648 33.16618548618644, 75.89814833225464 33.35824898165014)",2,0.8781900574601129,922.0
2502,75.89815_33.35825,75.68694_33.16619,Correlated_Link,29.012818611643645,"LINESTRING (75.68693819684648 33.16618548618644, 75.89814833225464 33.35824898165014)",2,0.8781900574601129,922.0
2503,75.68694_33.16619,75.96358_32.61223,Correlated_Link,66.79387413243276,"LINESTRING (75.68693819684648 33.16618548618644, 75.96357927743252 32.61222926804999)",2,0.7391049055135503,158.0
