node_id,orig_lat,orig_lon,sample_lat,sample_lon
67.66363_24.10645,24.106454116469116,67.66363449836902,24.225000000000172,67.72499999999957
67.53232_24.06049,24.06049225468162,67.53232421875,24.17500000000017,67.67499999999957
67.65088_23.93122,23.93121979374412,67.65087890625,24.07500000000017,67.67499999999957
67.71338_24.06642,24.06642487186912,67.71337890625,24.17500000000017,67.72499999999957
67.66311_24.10854,24.10853622200056,67.66311003853743,24.225000000000172,67.72499999999957
72.70693_34.08552,34.08551666874412,72.70693359375002,34.12500000000016,72.77499999999928
72.47128_34.02065,34.02065194901794,72.47128334955151,33.97500000000017,72.57499999999929
72.23317_33.91982,33.91982401989664,72.23317492760744,33.77500000000018,72.22499999999931
72.12999_33.77870,33.77870337328645,72.1299891526097,33.77500000000018,72.22499999999931
71.97252_33.61468,33.61467728088639,71.97252294222437,33.725000000000186,72.02499999999932
71.85105_33.40379,33.40378871802806,71.85105290810334,33.5250000000002,71.97499999999933
71.71945_33.24674,33.24674165866586,71.71945138611937,33.375000000000206,71.77499999999934
71.70609_33.02512,33.025121971794555,71.70609207172959,33.025000000000226,71.72499999999934
71.48557_32.90629,32.90629022127755,71.48557385732205,32.97500000000023,71.62499999999935
71.37124_32.69811,32.69811474081502,71.37123888277705,32.62500000000025,71.37499999999936
71.34755_32.45341,32.4534079149755,71.34754847080359,32.57500000000025,71.37499999999936
71.23994_32.21522,32.21521697833468,71.23993769852827,32.325000000000266,71.37499999999936
71.08638_32.01294,32.01293810311551,71.08638426323337,32.12500000000028,71.22499999999937
70.94959_31.78926,31.7892641998338,70.94958962767336,31.87500000000028,70.92499999999939
70.85194_31.54676,31.546757161724965,70.85193976899264,31.675000000000278,70.92499999999939
70.77297_31.29466,31.29465571489192,70.7729701410555,31.425000000000274,70.82499999999939
70.82566_31.03697,31.03697224774739,70.82566203678333,31.17500000000027,70.82499999999939
70.75353_30.79319,30.79318890237482,70.7535261211609,30.925000000000267,70.82499999999939
70.84610_30.55090,30.550904980877867,70.84609869926938,30.675000000000264,70.7749999999994
70.77472_30.30453,30.30452642410497,70.77472305134344,30.42500000000026,70.82499999999939
70.83212_30.05749,30.057486495217727,70.83212250531741,30.175000000000257,70.82499999999939
70.78543_29.81730,29.817296023244182,70.78542683389374,29.925000000000253,70.7749999999994
